sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
竹東,新竹縣,35,,良好,0.3,0.25,54,38,7,5,6,7.3,1.1,1.1,327,"2025-05-11 12:00",,0.2,4,12,0,121.08895493,24.74091408,23
湖口,新竹縣,50,,良好,0.8,0.23,59,54,17,12,8,8.8,0.7,3,48,"2025-05-11 12:00",,0.2,9.1,17,0,121.03886894,24.90009696,22
龍潭,桃園市,45,,良好,0.6,0.31,57,49,11,8,9,11.2,1.9,3.2,50,"2025-05-11 12:00",,0.2,7.8,11,0,121.21645772,24.86400048,21
平鎮,桃園市,48,,良好,0.4,0.3,56,52,12,10,10,11.2,0.3,1.7,48,"2025-05-11 12:00",,0.2,8.9,13,0,121.203986,24.952786,20
觀音,桃園市,58,臭氧八小時,普通,0.9,0.17,63,57,14,15,3,4.4,0.6,2.7,79,"2025-05-11 12:00",,0.1,14,19,1,121.08283092,25.03556747,19
大園,桃園市,47,,良好,1.2,0.22,62,51,17,9,7,8.6,0.6,3.7,34,"2025-05-11 12:00",,0.2,11,23,1,121.20251473,25.06100357,18
桃園,桃園市,49,,良好,0.5,0.31,62,53,23,16,7,8.2,1.1,2.2,32,"2025-05-11 12:00",,0.2,9.6,13,0,121.30500531,24.9947107,17
大同,臺北市,59,細懸浮微粒,普通,0.9,0.62,35,31,21,16,32,45.2,12.6,-,-,"2025-05-11 12:00",,0.5,15.3,21,0,121.51342074,25.06331455,16
松山,臺北市,52,細懸浮微粒,普通,1,0.27,56,50,16,10,16,17.5,1.2,1.2,58,"2025-05-11 12:00",,0.2,12.8,17,1,121.578611,25.05,15
古亭,臺北市,50,,良好,0.5,0.29,59,54,19,12,10,11.3,1.3,1.6,67,"2025-05-11 12:00",,0.2,10,15,0,121.529556,25.020608,14
萬華,臺北市,43,,良好,0.6,0.35,50,46,15,11,16,17.5,1.2,0.6,299,"2025-05-11 12:00",,0.2,9.4,15,0,121.507972,25.046503,13
中山,臺北市,45,,良好,0.5,0.33,54,49,13,11,15,17.4,1.5,0.8,93,"2025-05-11 12:00",,0.2,10.7,16,0,121.526528,25.062361,12
士林,臺北市,44,,良好,1,0.29,50,47,17,7,14,15.6,0.9,2,218,"2025-05-11 12:00",,0.2,7,14,1,121.51666356,25.10334003,11
淡水,新北市,50,,良好,0.6,0.23,59,54,16,7,2,3.3,0.4,2.2,20,"2025-05-11 12:00",,0.2,10.2,21,0,121.449239,25.1645,10
林口,新北市,54,臭氧八小時,普通,0.1,0.21,63,56,8,10,3,4.4,0.4,2.3,41,"2025-05-11 12:00",,0.2,8.1,12,0,121.36548982,25.07798949,9
菜寮,新北市,44,,良好,0,0.3,55,48,13,10,13,14.3,1.2,1.1,297,"2025-05-11 12:00",,0.2,10.5,14,0,121.481028,25.06895,8
新莊,新北市,48,,良好,0.6,0.2,58,52,6,9,7,9.1,1.1,2.9,11,"2025-05-11 12:00",,0.1,9.7,11,0,121.4325,25.037972,7
板橋,新北市,43,,良好,0.6,0.33,56,46,11,7,12,13.7,1,1.5,350,"2025-05-11 12:00",,0.2,7.4,12,0,121.458667,25.012972,6
土城,新北市,48,,良好,0.7,0.32,60,52,19,14,8,9,0.5,1.4,323,"2025-05-11 12:00",,0.2,11,14,0,121.451861,24.982528,5
新店,新北市,45,,良好,1,0.28,63,49,22,15,10,10.4,0.4,1,67,"2025-05-11 12:00",,0.2,9.5,14,0,121.537778,24.977222,4
汐止,新北市,58,細懸浮微粒,普通,0.9,0.24,60,55,18,19,10,12.1,1.3,0.9,67,"2025-05-11 12:00",,0.2,14.9,20,0,121.64081,25.06624,2
基隆,基隆市,90,臭氧八小時,普通,1.2,0.24,69,67,21,10,2,4.2,1.2,0.9,97,"2025-05-11 12:00",,0.2,12.7,22,0,121.760056,25.129167,1
屏東(枋山),屏東縣,40,,良好,0,0.13,31,43,23,3,2,3,0.3,2.4,328,"2025-05-11 11:00",,0.1,2.4,13,0,120.651472,22.260899,313
臺南（南化）,臺南市,23,,良好,0.1,0.22,33,25,16,6,3,4,0.5,4.3,342,"2025-05-11 11:00",,0.1,4.5,12,0,120.44583156,23.04562013,312
新北(樹林),新北市,46,,良好,0,0.27,60,50,9,5,13,15.8,2.2,0,171,"2025-05-11 11:00",,0.2,5.4,9,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,23,,良好,0.1,0.24,25,25,7,3,8,12.8,4.8,0.4,6,"2025-05-11 11:00",,0.2,1.6,8,0,120.883858,24.174592,310
屏東(琉球),屏東縣,44,,良好,3.3,0.91,28,33,38,21,18,21.5,3,2.9,324,"2025-05-11 11:00",,0.3,10.9,18,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,33,,良好,1.1,0.14,28,36,13,4,2,3.3,1.2,0.2,44,"2025-05-11 11:00",,0.1,3.7,14,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,32,,良好,0.8,0.25,32,30,24,11,7,9.3,1.9,0.9,330,"2025-05-11 11:00",,0.2,7.8,19,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,31,,良好,0.5,0.16,26,33,12,3,1,1.8,0.6,0.4,50,"2025-05-11 11:00",,0.1,5.9,13,0,121.6565272,24.6757916,201
員林,彰化縣,43,,良好,0.9,0.23,19,14,10,8,7,8.8,1.1,2.4,58,"2025-05-11 11:00",,0.2,10.7,15,0,120.5631893,23.9615945,139
大城,彰化縣,51,細懸浮微粒,普通,0.5,0.2,67,52,23,8,2,3,0.6,3.3,34,"2025-05-11 11:00",,0.2,12.5,28,1,120.26964167,23.85493056,85
富貴角,新北市,112,臭氧八小時,對敏感族群不健康,0.2,0.17,74,74,32,12,1,1.1,0,5.4,33,"2025-05-11 11:00",,0.1,14.7,43,0,121.53656894,25.29681695,84
麥寮,雲林縣,48,,良好,1.1,0.26,50,42,15,9,5,7.2,2.2,4.6,3,"2025-05-11 11:00",,0.2,11.8,24,1,120.251825,23.753506,83
關山,臺東縣,32,,良好,0.5,0.21,36,35,10,7,2,3.9,1.2,1,3,"2025-05-11 11:00",,0.2,6.4,12,0,121.161933,23.045083,80
馬公,澎湖縣,77,臭氧八小時,普通,0.8,0.2,64,63,24,9,2,3.1,0.7,4.9,26,"2025-05-11 11:00",,0.2,13.3,28,0,119.566158,23.569031,78
金門,金門縣,54,細懸浮微粒,普通,0.9,0.23,41,47,25,7,8,9.9,1.3,1.2,356,"2025-05-11 11:00",,0.2,13.5,23,0,118.312256,24.432133,77
馬祖,連江縣,71,臭氧八小時,普通,0.6,0.23,65,61,24,13,5,5.4,0.4,2.3,326,"2025-05-11 11:00",,0.2,15,26,0,119.952724,26.153736,75
埔里,南投縣,28,,良好,1.2,0.18,28,30,13,5,3,4.7,1.4,1.4,287,"2025-05-11 11:00",,0.1,5.1,13,1,120.967903,23.968842,72
復興,高雄市,31,,良好,0.6,0.37,36,34,13,10,12,14.7,2.4,1.1,280,"2025-05-11 11:00",,0.2,7.7,11,0,120.312017,22.608711,71
永和,新北市,43,,良好,0.1,0.42,58,46,21,13,12,14.1,1.6,0.9,96,"2025-05-11 11:00",,0.3,10.7,15,0,121.516306,25.017,70
竹山,南投縣,30,,良好,0.4,0.17,38,29,11,8,3,5.1,1.1,0.9,291,"2025-05-11 11:00",,0.1,6.7,18,0,120.677306,23.756389,69
中壢,桃園市,56,二氧化氮,普通,1.2,0.38,36,39,12,14,30,41.6,11.1,1.1,27,"2025-05-11 11:00",,0.3,11,15,1,121.221667,24.953278,68
三重,新北市,62,二氧化氮,普通,0.4,0.9,24,30,16,18,40,69.2,28.7,-,-,"2025-05-11 11:00",,0.5,12.7,17,0,121.493806,25.072611,67
冬山,宜蘭縣,37,,良好,0.3,0.22,50,40,13,7,7,9.9,2,1,30,"2025-05-11 11:00",,0.1,7.2,13,0,121.792928,24.632203,66
宜蘭,宜蘭縣,36,,良好,0.5,0.21,44,39,5,7,3,4.9,1,0.6,61,"2025-05-11 11:00",,0.1,8.9,10,0,121.746394,24.747917,65
陽明,臺北市,80,臭氧八小時,普通,0.2,0.23,68,64,9,3,1,1.5,0.4,5.1,360,"2025-05-11 11:00",,0.2,4,10,0,121.529583,25.182722,64
花蓮,花蓮縣,35,,良好,0.8,0.26,41,38,7,4,4,5.4,0.6,2.3,91,"2025-05-11 11:00",,0.2,4.5,14,0,121.599769,23.971306,63
臺東,臺東縣,37,,良好,0.6,0.36,35,40,11,4,6,7.9,1.2,1.2,318,"2025-05-11 11:00",,0.2,6.6,15,0,121.15045,22.755358,62
恆春,屏東縣,46,,良好,0.8,0.17,47,50,9,8,0,1.9,1,3.6,349,"2025-05-11 11:00",,0.1,6.2,12,0,120.788928,21.958069,61
潮州,屏東縣,20,,良好,0.4,0.21,26,22,9,7,4,5.6,0.7,1.1,285,"2025-05-11 11:00",,0.1,4.9,12,0,120.561175,22.523108,60
屏東,屏東縣,22,,良好,1.1,0.23,33,24,12,5,6,7.5,1.2,2.1,284,"2025-05-11 11:00",,0.1,4.6,11,0,120.488033,22.673081,59
小港,高雄市,40,,良好,1.1,0.36,37,33,17,13,13,16.2,2.3,2.1,317,"2025-05-11 11:00",,0.2,10,12,1,120.337736,22.565833,58
前鎮,高雄市,36,,良好,0.2,0.32,40,36,17,12,9,11.9,2.2,3.2,10,"2025-05-11 11:00",,0.2,9,16,0,120.30833356,22.6044507,57
前金,高雄市,34,,良好,0.2,0.26,39,37,27,10,6,8.7,1.8,4.2,359,"2025-05-11 11:00",,0.2,8.3,20,0,120.28676111,22.63390278,56
左營,高雄市,36,,良好,0.9,0.26,36,34,24,13,9,11,1.7,3.2,358,"2025-05-11 11:00",,0.2,8.9,16,0,120.292917,22.674861,54
楠梓,高雄市,38,,良好,1.1,0.23,35,33,28,10,8,9.8,1.8,1.8,353,"2025-05-11 11:00",,0.1,9.5,20,1,120.328289,22.733667,53
林園,高雄市,32,,良好,1.2,0.32,34,30,21,5,10,11.6,1,0.5,15,"2025-05-11 11:00",,0.2,6.4,19,0,120.41175,22.4795,52
大寮,高雄市,40,,良好,0.5,0.24,31,26,28,16,7,8.3,1.1,1,295,"2025-05-11 11:00",,0.2,9.9,18,0,120.425311,22.56413611,51
鳳山,高雄市,52,細懸浮微粒,普通,1.4,0.47,33,32,22,18,13,14.9,1.9,1.3,276,"2025-05-11 11:00",,0.3,12.8,19,1,120.357422,22.628126,50
仁武,高雄市,33,,良好,0.4,0.28,34,31,18,12,10,12.3,1.5,2.6,343,"2025-05-11 11:00",,0.3,8.2,14,1,120.332631,22.689056,49
橋頭,高雄市,35,,良好,0.6,0.26,37,34,20,10,8,9.8,1.8,2.1,355,"2025-05-11 11:00",,0.2,8.8,18,0,120.305689,22.757506,48
美濃,高雄市,26,,良好,0.6,0.22,28,28,12,11,3,4.2,0.5,1.5,298,"2025-05-11 11:00",,0.1,5.8,12,0,120.530542,22.883583,47
臺南,臺南市,42,,良好,0.7,0.24,39,37,21,11,9,11.3,2.1,3.4,3,"2025-05-11 11:00",,0.2,10.5,21,0,120.21947897,22.98928311,46
安南,臺南市,55,細懸浮微粒,普通,0.6,0.28,40,37,27,18,6,8.3,1.6,2.8,332,"2025-05-11 11:00",,0.2,14,23,0,120.2175,23.048197,45
善化,臺南市,39,,良好,1.3,0.22,36,33,17,8,4,6,1.6,2.8,14,"2025-05-11 11:00",,0.2,9.7,20,1,120.29740529,23.11337642,44
新營,臺南市,50,,良好,0.9,0.22,39,34,18,15,5,6.8,1,2,16,"2025-05-11 11:00",,0.2,12.3,20,0,120.31725,23.305633,43
嘉義,嘉義市,40,,良好,6.3,0.25,38,36,23,14,8,9.4,1.2,2.7,2,"2025-05-11 11:00",,0.2,9.9,20,1,120.44125148,23.46477865,42
臺西,雲林縣,45,,良好,0.9,0.22,59,47,14,7,3,3.9,0.4,6.8,23,"2025-05-11 11:00",,0.2,10.5,27,1,120.19933333,23.702175,41
朴子,嘉義縣,47,,良好,1,0.17,42,39,15,8,3,4.6,0.8,2.2,348,"2025-05-11 11:00",,0.1,11.7,21,1,120.2478,23.46538,40
新港,嘉義縣,38,,良好,1.5,0.19,41,37,9,7,6,7.6,1.2,3.2,13,"2025-05-11 11:00",,0.2,9.4,19,1,120.345531,23.554839,39
崙背,雲林縣,38,,良好,0.9,0.22,43,35,13,7,3,5,1.2,2.2,12,"2025-05-11 11:00",,0.2,9.4,20,0,120.348742,23.757547,38
斗六,雲林縣,41,,良好,1.1,0.25,34,32,21,11,6,8.8,2.8,1.7,341,"2025-05-11 11:00",,0.2,10.2,20,1,120.544994,23.711853,37
南投,南投縣,28,,良好,0.3,0.24,31,30,17,9,8,9.8,1.6,2.2,346,"2025-05-11 11:00",,0.1,7,16,0,120.685306,23.913,36
二林,彰化縣,40,,良好,0.8,0.21,47,37,18,7,2,3.7,0.9,4.4,27,"2025-05-11 11:00",,0.2,9,24,1,120.409653,23.925175,35
線西,彰化縣,40,,良好,0.9,0.21,57,39,15,9,8,10.1,1.6,4.7,35,"2025-05-11 11:00",,0.2,10,19,1,120.469061,24.131672,34
彰化,彰化縣,35,,良好,0.5,0.25,37,30,8,3,8,9.8,1.1,2.5,26,"2025-05-11 11:00",,0.2,8.6,15,0,120.541519,24.066,33
西屯,臺中市,41,,良好,0.8,0.18,44,34,11,5,4,5.1,0.6,3.5,4,"2025-05-11 11:00",,0.1,10.1,16,0,120.616917,24.162197,32
忠明,臺中市,29,,良好,1.1,0.23,33,31,7,5,6,7.1,1,1.8,356,"2025-05-11 11:00",,0.2,6.5,13,0,120.641092,24.151958,31
大里,臺中市,41,,良好,1.1,0.24,32,29,12,8,7,9.5,1.6,2.2,353,"2025-05-11 11:00",,0.2,10.1,15,0,120.67844444,24.09961111,30
沙鹿,臺中市,35,,良好,0.5,0.21,53,38,18,6,4,5.4,0.7,4.1,25,"2025-05-11 11:00",,0.2,7.3,20,0,120.568794,24.225628,29
豐原,臺中市,30,,良好,0.5,0.19,37,26,7,7,2,3.4,0.8,1.9,351,"2025-05-11 11:00",,0.2,7.5,18,0,120.74252414,24.25699731,28
三義,苗栗縣,32,,良好,0.7,0.22,41,27,6,3,3,5,1.6,5.6,5,"2025-05-11 11:00",,0.2,7.9,17,0,120.75956754,24.38248443,27
苗栗,苗栗縣,37,,良好,0.9,0.24,59,36,10,7,5,6.4,1.1,2.7,14,"2025-05-11 11:00",,0.2,9.1,13,1,120.82011468,24.56499183,26
頭份,苗栗縣,40,,良好,1.2,0.27,60,43,13,10,7,9,1.3,2.2,359,"2025-05-11 11:00",,0.2,9.7,15,1,120.89869286,24.69690679,25
新竹,新竹市,44,,良好,0,0.29,61,47,14,12,8,9.2,0.6,1.3,11,"2025-05-11 11:00",,0.2,10.2,12,0,120.97236752,24.8056356,24
竹東,新竹縣,31,,良好,0.3,0.23,56,34,6,4,5,6.9,1.3,1.5,333,"2025-05-11 11:00",,0.1,4.1,13,0,121.08895493,24.74091408,23
湖口,新竹縣,49,,良好,0.7,0.22,62,53,16,6,6,6.7,0.6,2.1,32,"2025-05-11 11:00",,0.2,7.9,16,0,121.03886894,24.90009696,22
龍潭,桃園市,44,,良好,0.6,0.32,59,48,8,6,9,11,1.9,2.5,44,"2025-05-11 11:00",,0.2,7.4,11,0,121.21645772,24.86400048,21
平鎮,桃園市,48,,良好,0.3,0.28,56,52,13,9,9,9.7,0.3,1.8,43,"2025-05-11 11:00",,0.2,7.9,13,0,121.203986,24.952786,20
觀音,桃園市,54,細懸浮微粒,普通,0.9,0.18,66,56,19,14,4,5.5,0.7,3.3,51,"2025-05-11 11:00",,0.1,13.7,20,1,121.08283092,25.03556747,19
大園,桃園市,53,二氧化氮,普通,1.5,0.26,46,48,19,9,25,33.1,7.5,2.8,37,"2025-05-11 11:00",,0.2,11.5,24,1,121.20251473,25.06100357,18
桃園,桃園市,48,,良好,0.5,0.28,60,52,13,7,7,8.5,1.1,1.4,357,"2025-05-11 11:00",,0.2,8.5,10,0,121.30500531,24.9947107,17
大同,臺北市,60,細懸浮微粒,普通,0.9,0.67,34,32,25,20,31,47.7,16.1,-,-,"2025-05-11 11:00",,0.5,15.7,22,0,121.51342074,25.06331455,16
松山,臺北市,53,細懸浮微粒,普通,1,0.26,50,49,23,18,22,23.8,0.9,1.6,44,"2025-05-11 11:00",,0.2,13.4,18,1,121.578611,25.05,15
古亭,臺北市,48,,良好,0.4,0.27,60,52,20,14,8,10.1,1.3,0.6,60,"2025-05-11 11:00",,0.2,9.5,14,0,121.529556,25.020608,14
萬華,臺北市,43,,良好,0.5,0.3,55,46,17,13,14,16,1.5,0.2,34,"2025-05-11 11:00",,0.2,9.2,16,0,121.507972,25.046503,13
中山,臺北市,45,,良好,0.4,0.36,52,48,15,13,16,17.8,1.4,1.1,79,"2025-05-11 11:00",,0.2,11.2,17,0,121.526528,25.062361,12
士林,臺北市,44,,良好,1,0.25,56,47,13,7,8,9.7,0.9,1.2,257,"2025-05-11 11:00",,0.2,7,14,1,121.51666356,25.10334003,11
淡水,新北市,48,,良好,0.6,0.23,61,52,16,10,3,3.5,0.4,2.4,20,"2025-05-11 11:00",,0.2,10.6,21,0,121.449239,25.1645,10
林口,新北市,50,,良好,0.1,0.21,61,54,11,9,3,4.2,0.6,3.4,41,"2025-05-11 11:00",,0.2,7.2,12,0,121.36548982,25.07798949,9
菜寮,新北市,43,,良好,0.1,0.31,55,46,11,11,11,13.2,1.3,1.5,288,"2025-05-11 11:00",,0.2,10.3,14,0,121.481028,25.06895,8
新莊,新北市,47,,良好,0.6,0.22,57,51,10,9,8,10,1,1,26,"2025-05-11 11:00",,0.1,10.1,12,0,121.4325,25.037972,7
板橋,新北市,43,,良好,0.6,0.34,58,46,16,11,12,13.8,0.9,0.9,105,"2025-05-11 11:00",,0.2,7.5,13,0,121.458667,25.012972,6
土城,新北市,47,,良好,0.8,0.3,62,51,19,10,7,8.1,0.4,0.8,140,"2025-05-11 11:00",,0.2,10.4,14,0,121.451861,24.982528,5
新店,新北市,44,,良好,1,0.26,66,47,25,12,7,8,0.3,0.7,53,"2025-05-11 11:00",,0.2,8.3,13,0,121.537778,24.977222,4
汐止,新北市,54,細懸浮微粒,普通,0.5,0.25,62,54,23,17,9,10.5,1,2.2,39,"2025-05-11 11:00",,0.2,13.5,20,0,121.64081,25.06624,2
基隆,基隆市,84,臭氧八小時,普通,1.1,0.23,74,65,28,14,2,4,1.2,1.2,86,"2025-05-11 11:00",,0.2,13.1,23,0,121.760056,25.129167,1
屏東(枋山),屏東縣,42,,良好,0,0.14,30,45,16,5,4,4.3,0.3,2.9,349,"2025-05-11 10:00",,0.1,2.2,10,0,120.651472,22.260899,313
臺南（南化）,臺南市,21,,良好,0,0.2,27,23,5,7,2,3.2,0.4,4.9,354,"2025-05-11 10:00",,0.1,4.1,11,0,120.44583156,23.04562013,312
新北(樹林),新北市,46,,良好,0,0.27,52,50,3,3,18,21.3,3.1,0.1,209,"2025-05-11 10:00",,0.1,5.7,10,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,25,,良好,0.1,0.22,23,27,7,1,5,9,3.6,0.6,315,"2025-05-11 10:00",,0.1,1.2,9,0,120.883858,24.174592,310
屏東(琉球),屏東縣,37,,良好,1.1,0.34,32,34,18,13,8,10.5,1.5,3.2,333,"2025-05-11 10:00",,0.2,9.1,16,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,35,,良好,1.2,0.15,27,38,16,3,2,3.7,1.1,0.2,27,"2025-05-11 10:00",,0.1,3.6,14,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,32,,良好,0.6,0.25,30,28,18,13,9,10.6,1.6,0.9,12,"2025-05-11 10:00",,0.1,7.2,19,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,32,,良好,0.5,0.16,21,35,8,4,1,2.3,1,0.5,277,"2025-05-11 10:00",,0.1,6.8,14,0,121.6565272,24.6757916,201
員林,彰化縣,44,,良好,0.8,0.26,16,14,16,17,7,8.5,1.1,1.2,32,"2025-05-11 10:00",,0.2,11,16,0,120.5631893,23.9615945,139
大城,彰化縣,54,細懸浮微粒,普通,0.6,0.2,60,51,20,8,3,4.1,0.5,3.4,34,"2025-05-11 10:00",,0.2,13.7,30,1,120.26964167,23.85493056,85
富貴角,新北市,108,臭氧八小時,對敏感族群不健康,0.2,0.18,77,73,40,13,1,1.2,0,7.5,40,"2025-05-11 10:00",,0.1,14.8,44,0,121.53656894,25.29681695,84
麥寮,雲林縣,52,細懸浮微粒,普通,1,0.24,47,41,17,13,2,4.8,2,3.8,12,"2025-05-11 10:00",,0.2,12.7,26,1,120.251825,23.753506,83
關山,臺東縣,32,,良好,0.5,0.2,41,35,8,6,2,3.4,1.1,0.9,42,"2025-05-11 10:00",,0.1,6.2,13,0,121.161933,23.045083,80
馬公,澎湖縣,74,臭氧八小時,普通,1,0.23,65,62,22,6,2,3.5,0.9,4.5,13,"2025-05-11 10:00",,0.2,13.4,28,0,119.566158,23.569031,78
金門,金門縣,57,細懸浮微粒,普通,1,0.23,43,47,20,13,6,7.7,1.1,0.9,327,"2025-05-11 10:00",,0.2,14.8,23,0,118.312256,24.432133,77
馬祖,連江縣,67,臭氧八小時,普通,0.8,0.21,64,60,21,15,4,5,0.3,2.7,333,"2025-05-11 10:00",,0.2,15.3,27,0,119.952724,26.153736,75
埔里,南投縣,30,,良好,1.2,0.21,29,32,9,5,3,5.1,1.3,1.3,278,"2025-05-11 10:00",,0.1,5.5,13,1,120.967903,23.968842,72
復興,高雄市,33,,良好,0.5,0.39,32,32,20,13,14,17.6,2.9,1.1,108,"2025-05-11 10:00",,0.1,7.4,10,0,120.312017,22.608711,71
永和,新北市,44,,良好,0.1,0.33,58,45,12,10,8,9.8,1.4,1.6,78,"2025-05-11 10:00",,0.3,10.8,15,0,121.516306,25.017,70
竹山,南投縣,35,,良好,0.7,0.16,31,30,16,5,4,5.6,1.1,2,20,"2025-05-11 10:00",,0.1,6.4,21,0,120.677306,23.756389,69
中壢,桃園市,52,二氧化氮,普通,1,0.34,45,40,21,11,23,28.2,4.7,0.7,13,"2025-05-11 10:00",,0.3,10.5,16,1,121.221667,24.953278,68
三重,新北市,58,二氧化氮,普通,0.4,0.64,35,31,12,12,33,52.2,18.8,-,-,"2025-05-11 10:00",,0.4,12.2,18,0,121.493806,25.072611,67
冬山,宜蘭縣,37,,良好,0.3,0.2,26,40,8,6,8,11.7,2.8,1.3,90,"2025-05-11 10:00",,0.1,7.6,15,0,121.792928,24.632203,66
宜蘭,宜蘭縣,37,,良好,0.5,0.16,31,40,6,9,2,3.5,0.7,1.2,125,"2025-05-11 10:00",,0.1,8.9,12,0,121.746394,24.747917,65
陽明,臺北市,77,臭氧八小時,普通,0.1,0.22,68,63,7,3,1,1.5,0.4,2.9,330,"2025-05-11 10:00",,0.2,4.5,11,0,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,0.8,0.25,32,37,19,4,3,3.9,0.6,1.1,244,"2025-05-11 10:00",,0.2,4.6,14,0,121.599769,23.971306,63
臺東,臺東縣,38,,良好,0.7,0.3,38,41,14,6,5,6.4,0.9,0.9,311,"2025-05-11 10:00",,0.2,7,15,0,121.15045,22.755358,62
恆春,屏東縣,46,,良好,,0.17,50,50,18,7,0,2,1.3,3.4,21,"2025-05-11 10:00",,0.1,5.6,13,0,120.788928,21.958069,61
潮州,屏東縣,22,,良好,0.4,0.22,27,20,16,4,5,6.1,0.5,1.7,32,"2025-05-11 10:00",,0.1,4.6,13,0,120.561175,22.523108,60
屏東,屏東縣,20,,良好,0.6,0.21,31,22,,,,,,1.5,14,"2025-05-11 10:00",,0.1,4.6,11,0,120.488033,22.673081,59
小港,高雄市,37,,良好,0.8,0.32,33,30,16,11,13,15.1,1.6,2.3,338,"2025-05-11 10:00",,0.2,9.2,11,1,120.337736,22.565833,58
前鎮,高雄市,33,,良好,0.2,0.31,37,34,20,12,10,12.8,2.2,2.6,16,"2025-05-11 10:00",,0.2,8.3,16,0,120.30833356,22.6044507,57
前金,高雄市,32,,良好,0.2,0.27,41,35,27,12,7,9.1,1.4,2.6,356,"2025-05-11 10:00",,0.1,7.5,19,0,120.28676111,22.63390278,56
左營,高雄市,33,,良好,0.8,0.28,36,32,19,8,9,10.9,1.1,1.9,0,"2025-05-11 10:00",,0.2,8.1,14,0,120.292917,22.674861,54
楠梓,高雄市,40,,良好,1.2,0.22,36,31,23,9,8,8.8,0.7,1.3,337,"2025-05-11 10:00",,0.1,9.9,19,1,120.328289,22.733667,53
林園,高雄市,38,,良好,1.1,0.35,27,31,23,9,16,18.3,1.7,3.7,347,"2025-05-11 10:00",,0.2,7,20,0,120.41175,22.4795,52
大寮,高雄市,34,,良好,0.5,0.23,33,25,19,15,7,7.8,0.6,1.9,305,"2025-05-11 10:00",,0.1,8.4,17,1,120.425311,22.56413611,51
鳳山,高雄市,48,,良好,1.3,0.46,33,31,24,14,11,12.3,1.2,1.1,282,"2025-05-11 10:00",,0.2,11.9,18,1,120.357422,22.628126,50
仁武,高雄市,33,,良好,1.2,0.47,32,30,16,10,,,,2.7,352,"2025-05-11 10:00",,0.3,8.1,13,1,120.332631,22.689056,49
橋頭,高雄市,34,,良好,0.5,0.23,34,32,20,6,7,9.1,1.6,2,15,"2025-05-11 10:00",,0.1,8.4,17,0,120.305689,22.757506,48
美濃,高雄市,23,,良好,0.5,0.2,30,25,11,7,3,3.9,0.6,0.9,262,"2025-05-11 10:00",,0.1,5.1,13,0,120.530542,22.883583,47
臺南,臺南市,44,,良好,0.7,0.28,35,35,24,13,11,13.4,1.9,2.6,9,"2025-05-11 10:00",,0.2,11,22,0,120.21947897,22.98928311,46
安南,臺南市,52,細懸浮微粒,普通,0.7,0.29,35,35,22,14,7,9.4,1.6,2.5,354,"2025-05-11 10:00",,0.2,13,22,0,120.2175,23.048197,45
善化,臺南市,40,,良好,1.2,0.24,31,30,24,12,4,6.2,1.3,2.7,2,"2025-05-11 10:00",,0.1,9.8,21,0,120.29740529,23.11337642,44
新營,臺南市,46,,良好,0.8,0.25,32,33,18,13,6,7.6,1.1,3,10,"2025-05-11 10:00",,0.2,11.4,21,0,120.31725,23.305633,43
嘉義,嘉義市,37,,良好,1.5,0.28,33,37,19,10,8,9.6,1,3,357,"2025-05-11 10:00",,0.2,9.1,19,1,120.44125148,23.46477865,42
臺西,雲林縣,50,,良好,1,0.21,53,45,27,9,3,4.2,0.5,3.5,25,"2025-05-11 10:00",,0.2,10.5,30,1,120.19933333,23.702175,41
朴子,嘉義縣,50,,良好,0.9,0.18,45,40,21,8,3,3.5,0.4,2,351,"2025-05-11 10:00",,0.1,12.4,23,1,120.2478,23.46538,40
新港,嘉義縣,40,,良好,1.7,0.23,41,38,17,10,7,8.4,0.9,3.5,22,"2025-05-11 10:00",,0.1,10,22,1,120.345531,23.554839,39
崙背,雲林縣,41,,良好,1,0.26,39,35,21,11,5,6.9,1.3,1.4,28,"2025-05-11 10:00",,0.2,10.2,22,0,120.348742,23.757547,38
斗六,雲林縣,39,,良好,1.1,0.24,31,34,22,13,5,8.4,2.7,2.1,335,"2025-05-11 10:00",,0.1,9.7,20,1,120.544994,23.711853,37
南投,南投縣,29,,良好,0.4,0.24,31,31,18,9,6,7.9,1.1,1.2,2,"2025-05-11 10:00",,0.1,6.5,17,0,120.685306,23.913,36
二林,彰化縣,42,,良好,1.2,0.21,44,36,21,7,3,4.4,0.9,2.8,20,"2025-05-11 10:00",,0.2,9.4,25,1,120.409653,23.925175,35
線西,彰化縣,41,,良好,1,0.19,41,38,8,8,9,11.4,2,5.4,40,"2025-05-11 10:00",,0.2,10.2,21,1,120.469061,24.131672,34
